,Graph,Degree
16,"[[0.99844083 1.03380184 0.96662922 ... 0.98212545 1.02774252 1.00035177]
 [0.96052709 1.00411343 0.96950452 ... 1.09503539 0.988746   0.96977152]
 [0.96039898 0.98904152 1.04072063 ... 0.99292092 0.9720508  1.0175145 ]
 ...
 [0.97322514 0.94708582 1.01132787 ... 0.95646554 0.99604247 0.94307674]
 [0.96822725 1.08533693 0.98037125 ... 1.10470289 1.0600958  1.01751158]
 [0.95235196 1.00810728 0.98461264 ... 1.0746485  0.98820946 1.005884  ]]",3
17,"[[0.99218247 0.96956326 1.02106009 ... 0.94909025 1.03130397 1.00231799]
 [0.98203487 1.03277829 0.91929915 ... 1.01517104 1.02479741 1.05735873]
 [1.01455696 1.03866702 1.04028135 ... 0.98741704 1.03666619 0.97095476]
 ...
 [0.98838861 0.93098439 0.92975869 ... 1.01262598 1.0248444  1.0347149 ]
 [1.06501222 1.07633252 0.93730595 ... 0.93035235 1.03884009 1.00635635]
 [0.96308021 1.02857946 0.90365278 ... 0.96800984 1.04690762 1.02815839]]",5
18,"[[1.05230118 0.96258085 1.02184407 ... 1.03491364 1.00200644 0.95300977]
 [0.9748682  1.031081   1.01814372 ... 0.97649435 0.95289416 0.95661358]
 [0.96223058 0.98543171 1.02746092 ... 0.94826293 1.05767426 0.96774108]
 ...
 [1.01395788 1.00512819 1.0259043  ... 1.0270291  1.06405377 1.00197958]
 [1.03608236 0.95934328 0.96232271 ... 0.99618268 1.04314102 1.02293253]
 [1.03915761 1.01471606 0.98829227 ... 1.04621147 1.06178607 0.98790873]]",0
19,"[[1.03539238 0.95734713 0.98109183 ... 1.0378782  1.00061785 0.98185531]
 [1.04748178 0.96507372 0.98846642 ... 1.03292825 1.07386393 0.93032582]
 [1.01722912 1.03032826 0.9744915  ... 0.97801347 0.99276294 1.00601161]
 ...
 [0.97586641 1.10358615 1.04717372 ... 1.02837129 0.96576331 0.99961214]
 [0.96899457 0.9534055  0.98801414 ... 0.96248923 0.99829628 0.91876089]
 [1.09995049 1.0400528  0.99268272 ... 1.0016309  1.04686363 1.02490054]]",0
20,"[[0.97016101 1.04330671 1.01585041 ... 1.02556735 0.98623243 1.05861578]
 [0.9960388  0.9625343  0.98599448 ... 0.91936543 0.97397632 0.99867385]
 [0.96848557 1.05928237 0.99720428 ... 0.97880891 0.99966934 1.06843876]
 ...
 [1.04154408 1.01686506 1.0208887  ... 1.05908779 1.0434997  0.9872827 ]
 [0.89806143 0.97400975 0.92177049 ... 1.0097683  0.9592281  1.02171885]
 [0.98971071 0.97359546 0.96172446 ... 0.94096309 1.05559783 0.99594704]]",2
21,"[[1.00703846 0.97275073 0.96938121 ... 1.00481493 1.00210814 1.00445798]
 [1.01650602 0.98793628 0.98234392 ... 0.97555528 0.97633385 0.97507893]
 [1.03196772 1.01525835 1.03460889 ... 0.9739964  0.96587766 0.96070591]
 ...
 [1.00209939 1.05796933 1.00982668 ... 0.93236099 0.99754923 0.98904929]
 [0.99853081 1.01027092 0.99024511 ... 0.97121591 0.90521025 1.02681646]
 [1.01679621 0.99043894 0.98536506 ... 1.07858159 1.05491908 0.98864668]]",0
22,"[[0.9471583  1.0352674  1.05484901 ... 0.96001412 1.01730847 0.99525972]
 [1.00151215 0.99243291 0.98527457 ... 0.98644025 0.95992737 1.02404447]
 [0.97415409 0.90496115 1.0414647  ... 1.04765062 1.02099768 1.00159062]
 ...
 [1.0249597  1.02825058 1.01101682 ... 1.00335909 0.92024762 0.99813438]
 [0.93046458 1.01215473 1.03007057 ... 0.99599175 1.01328049 1.02847005]
 [1.02392969 0.98010195 1.03020363 ... 1.07822908 1.04807761 1.01882794]]",1
23,"[[0.98315345 1.00760589 1.00343254 ... 0.94461708 1.07603844 1.00739031]
 [1.02851308 0.95553054 1.01086511 ... 1.01376961 1.02601583 0.99286883]
 [1.00615157 0.98965611 1.04899798 ... 0.97064668 1.00964066 1.0421491 ]
 ...
 [0.98990256 1.00836041 0.98851045 ... 0.936215   0.98665821 1.05438412]
 [1.02926891 1.01718869 1.00511788 ... 0.9636911  0.95354909 0.92325768]
 [1.0085438  0.99495388 0.98566086 ... 0.9959735  0.98153128 1.01205548]]",5
24,"[[0.98576156 1.06780525 1.04248195 ... 1.00523717 1.05731084 0.92462732]
 [0.99195723 1.03819409 0.94156657 ... 1.01213031 0.93073175 0.98815863]
 [0.95307534 1.02894449 0.96179981 ... 0.99699229 1.00712157 0.93834673]
 ...
 [0.99446064 1.0399067  0.99666741 ... 1.02288041 1.02446506 1.02177144]
 [1.03602844 1.01055268 1.04491887 ... 0.99672142 1.04747252 1.05412683]
 [1.0553086  0.94364805 1.01769684 ... 0.97594497 1.0179724  1.00386688]]",1
25,"[[1.03015236 1.04524359 0.99669175 ... 0.99467402 1.04362929 0.96294941]
 [1.0427904  0.89073373 0.98632997 ... 0.97972507 0.94644541 1.10519837]
 [1.01336303 0.97257441 0.90410011 ... 1.02035968 1.00054434 1.02368511]
 ...
 [1.02570391 0.98736152 0.94739885 ... 0.9959423  0.96016501 1.04228702]
 [1.01251758 1.02232767 0.98332104 ... 0.97284295 1.08934256 0.97622733]
 [1.02592545 0.98999757 1.00481373 ... 0.9465322  0.95905943 0.97804534]]",5
26,"[[0.95936174 0.97286093 0.95520766 ... 0.98728838 0.95281258 1.02036771]
 [1.02257894 1.02317224 1.05007583 ... 0.94352548 0.97667489 0.97356549]
 [1.02705208 1.01020151 1.03764933 ... 0.99519874 1.02593956 1.02333775]
 ...
 [0.98729415 1.02418886 1.00665816 ... 1.0738133  1.02419058 1.0248518 ]
 [0.99878511 0.97760439 0.92356373 ... 0.97836709 1.0289471  1.04804104]
 [1.05242228 1.01165295 0.98353917 ... 0.99354603 1.01416973 0.98584584]]",5
27,"[[1.05192253 1.0108095  1.03262408 ... 1.03823959 1.01860762 1.01385952]
 [0.97440535 1.03542384 0.90612193 ... 0.99041111 1.03608247 0.97786216]
 [1.01084397 0.95160129 1.00742425 ... 0.96671856 0.99886228 1.01067897]
 ...
 [0.99021757 1.01116507 0.894241   ... 1.01463873 1.01093935 0.99860598]
 [1.00914142 0.99515481 0.99262009 ... 1.00839532 1.01195896 1.0264156 ]
 [0.98068403 1.03961111 1.03168424 ... 0.97262032 0.94729647 0.99777691]]",5
28,"[[1.0790715  0.97534229 1.04631441 ... 0.95671856 0.94123585 1.02917841]
 [1.05090275 1.07400049 0.94838159 ... 1.04136124 1.03732595 1.02281458]
 [0.95239169 1.05094261 1.07639712 ... 1.05450017 0.97052702 0.98658723]
 ...
 [0.98969287 0.9701263  0.99349612 ... 1.01426234 1.00754602 0.97585494]
 [0.97242756 1.00452565 0.97961132 ... 0.91968463 0.98163676 1.02090771]
 [1.02301327 1.02301418 1.0288361  ... 1.02626789 1.00819005 1.03069828]]",5
29,"[[0.94365552 1.00724016 0.98438916 ... 1.00097563 0.95796652 0.94748904]
 [0.99979688 1.01326219 0.98762146 ... 0.96504182 1.00114921 0.99250963]
 [1.07993266 1.02336101 0.94204211 ... 0.96061301 0.97585453 1.03801571]
 ...
 [0.98588625 1.02600788 0.91466167 ... 0.98712615 0.99885143 1.00025242]
 [0.92104869 0.99110508 1.0199436  ... 1.045575   1.01070134 1.00455464]
 [1.0026201  0.9954813  0.90584823 ... 0.98759141 0.99510476 1.0096553 ]]",3
30,"[[0.99766735 1.01094248 1.01295027 ... 1.02361473 1.00085345 1.0342997 ]
 [1.03832926 1.00566991 1.03358484 ... 0.93148935 1.02429849 1.01285818]
 [1.03124812 0.97265116 0.97510507 ... 0.97924325 0.98669738 1.04167974]
 ...
 [1.02011627 0.97105476 1.01549244 ... 0.96626724 0.98749463 0.98069125]
 [1.02817216 0.97839546 1.03552428 ... 0.92635037 0.99914229 1.07100793]
 [0.95823202 0.94267326 1.02183165 ... 1.02290653 1.0542583  1.03328187]]",1
31,"[[1.00728818 1.01537011 1.0047836  ... 0.96564501 1.00748013 1.02018782]
 [0.99542949 1.00462969 0.98398509 ... 1.0199268  1.01586466 0.93846181]
 [0.97687205 0.95458218 1.07167078 ... 1.01202109 0.97853721 1.03559324]
 ...
 [0.9516763  0.96286473 0.97848017 ... 0.95871295 0.94087793 1.05251828]
 [0.96713564 0.9706148  0.98970315 ... 0.96823661 0.97190425 0.96943768]
 [1.04719927 0.99800441 1.02589646 ... 0.98303819 1.00904097 0.91850092]]",5
32,"[[0.9393871  1.01252767 1.01615305 ... 1.00637049 1.02231295 0.9984122 ]
 [0.93530704 1.0293152  0.96914763 ... 1.01041076 0.96210927 1.02706651]
 [1.04182699 0.99185364 1.04616056 ... 1.0104274  0.98081297 1.01355128]
 ...
 [1.06179912 0.94557206 1.00707065 ... 1.03815112 0.94033696 1.02222339]
 [0.99138395 0.97889322 0.98376784 ... 0.9961157  1.10765647 1.02102256]
 [1.01533034 0.91992538 0.97086323 ... 0.93916566 1.06336814 1.02892893]]",3
33,"[[1.02479928 1.01342118 1.01221902 ... 1.08326843 0.98799284 1.02269066]
 [1.0415185  1.00185335 0.94675551 ... 0.95028315 0.94213243 1.04229908]
 [1.00628365 0.97826956 1.03528152 ... 0.95759738 0.97288173 0.99869405]
 ...
 [1.02402118 0.96129223 1.01135531 ... 1.01580892 1.05638298 1.00730214]
 [1.00439017 0.99647462 1.02812509 ... 1.05377391 0.99366314 0.94920794]
 [0.98086589 0.97747359 1.04148719 ... 0.95487264 1.00765367 0.98695255]]",2
34,"[[1.02724626 1.0318418  1.01720135 ... 0.99947466 1.0357695  0.95156087]
 [1.02855901 0.89223428 0.98849733 ... 0.99558732 0.94555089 0.96572003]
 [0.96650274 0.86958876 0.96007127 ... 0.99692078 0.99349263 0.98024767]
 ...
 [0.96232702 1.06753713 0.95511668 ... 0.98447439 1.07848607 0.97879363]
 [1.02864133 0.9968491  0.94049357 ... 0.95788695 1.05578141 0.99408578]
 [1.02630391 1.01651917 0.99554426 ... 0.99214216 1.0075249  0.98615718]]",4
35,"[[1.01636283 1.02737269 1.02422854 ... 0.99999384 1.08783218 1.00145756]
 [0.99399034 0.96918105 0.98760381 ... 1.03134412 0.9961449  0.94685028]
 [0.97239555 1.05954095 1.02240799 ... 1.01988544 1.04998848 1.04417949]
 ...
 [1.0555215  1.01979595 0.98857894 ... 1.04602406 0.95500606 0.99198663]
 [0.98116504 0.95536177 1.01535857 ... 0.98163738 1.00359711 1.03259581]
 [0.96144825 1.04486106 1.00222614 ... 0.96188363 0.93162647 0.98744033]]",4
36,"[[1.00327632 1.06112752 0.97031524 ... 0.96208112 1.06770506 0.98422952]
 [0.97730194 0.97987943 1.0511884  ... 0.99362905 0.93502653 1.02678365]
 [1.01143062 0.94122703 0.92821415 ... 1.00889353 0.98567863 1.07987166]
 ...
 [0.98410713 1.07102186 1.02327944 ... 1.0434241  0.98915317 0.99203207]
 [0.98258158 0.97128604 0.97988904 ... 0.98017152 0.97363505 1.06681139]
 [1.00855895 0.96060395 0.99416752 ... 1.03233846 1.01804375 0.96482674]]",5
37,"[[0.96718392 1.01638138 0.92644764 ... 0.95569793 1.01335091 0.97624686]
 [0.99328437 1.001814   1.01231997 ... 1.04133741 0.99154032 0.99051911]
 [1.06895772 0.92929131 0.9908641  ... 0.98763372 1.01237997 1.01723856]
 ...
 [0.98782955 1.0129755  0.98974737 ... 1.00703221 1.05113155 0.94333276]
 [1.05029084 0.97868941 1.02421807 ... 0.97683445 0.98997211 0.97288907]
 [0.96427853 0.99395444 1.04582071 ... 0.98713785 1.00654886 1.0251606 ]]",4
38,"[[0.98163444 1.01516664 1.0090552  ... 1.01899403 1.00698747 0.95713487]
 [1.04537314 0.91799495 0.92227776 ... 1.04492876 0.94909812 0.99170106]
 [1.04526136 0.98917766 1.03298061 ... 0.99695873 0.979574   1.00986988]
 ...
 [0.98260665 0.9481713  0.99463158 ... 1.03058591 1.06253659 1.02530396]
 [1.00051754 0.99548228 1.04569635 ... 0.96797293 0.9844267  1.0121171 ]
 [1.03897857 1.04741521 0.97463205 ... 1.02112273 0.98194031 0.99207938]]",3
39,"[[0.93959398 1.03286438 1.0154818  ... 1.00469508 0.90986317 1.05439892]
 [0.97613754 1.08046712 1.00176991 ... 1.01640604 1.04558891 1.05585048]
 [0.99506383 0.92563112 0.98231147 ... 0.95667154 1.06863082 0.97167944]
 ...
 [1.0113111  1.00925585 1.01440061 ... 1.03066447 1.00625974 0.95113261]
 [0.96836494 1.03808499 0.98260325 ... 1.03321775 0.96463756 0.98333181]
 [1.05495273 0.98165134 1.06536353 ... 1.00457925 0.9690278  0.98707463]]",2
40,"[[0.98222695 0.98891336 1.00657857 ... 0.98946337 0.98421295 0.99082601]
 [0.98934676 1.00404711 0.97137295 ... 0.99300683 0.97193082 0.96307508]
 [1.00257148 1.00574029 0.97039123 ... 1.00974318 0.99415636 1.01826038]
 ...
 [1.02478779 1.03971862 1.01405724 ... 0.97625933 0.98873955 1.05079033]
 [1.07023417 0.96177906 1.04605661 ... 0.93847754 0.98303404 1.06153848]
 [0.99492784 1.02405797 0.97980285 ... 1.03984316 1.04163859 1.0213304 ]]",3
41,"[[0.95608443 0.937477   0.98759225 ... 1.04088769 0.98555437 0.97117969]
 [1.0213516  1.00381586 1.02441545 ... 0.97011197 0.99214797 0.94875206]
 [0.94003163 0.95724186 1.03698941 ... 0.95138144 1.01862221 1.03107131]
 ...
 [1.01282781 0.97621478 0.9748101  ... 1.01343368 1.03042188 1.01941116]
 [1.02742636 1.01291775 1.04862761 ... 0.98283458 0.91623209 1.00902156]
 [0.99007145 1.03012941 0.94444942 ... 0.96871824 0.97593998 1.06822864]]",2
42,"[[0.97219962 1.02422318 0.96516618 ... 0.95475125 1.00004291 0.98959448]
 [0.98589637 0.94287851 1.02307118 ... 1.09948898 1.01759071 0.97776739]
 [0.97725052 0.96143445 1.03218227 ... 1.01442515 1.035899   0.9825603 ]
 ...
 [1.02344831 0.99131051 0.94406218 ... 1.00949824 0.96462175 1.00402784]
 [0.95588134 0.97769134 0.90837194 ... 0.93472573 0.96815818 1.02396357]
 [1.03053475 1.02652469 1.0210607  ... 0.97594497 0.98674273 1.02284476]]",3
43,"[[0.97197746 0.99426281 1.01945168 ... 1.02020567 1.0060673  1.02284814]
 [1.04362555 1.04888896 0.95659398 ... 0.94512601 1.02212173 0.99536287]
 [1.00534506 1.00943122 0.96398964 ... 0.97999764 0.96858791 1.02354805]
 ...
 [1.0098714  1.01676659 0.99845566 ... 1.05536731 1.04341748 0.99461084]
 [0.9600146  1.0244792  1.00598926 ... 0.92821608 0.98089167 0.9774102 ]
 [0.96582875 1.01912486 1.06376893 ... 0.99581178 0.9771399  1.06639666]]",0
44,"[[0.9413286  0.9985594  1.01689003 ... 1.02490897 0.97243989 0.95261369]
 [0.96016924 1.03593249 0.98134562 ... 1.0005771  1.02007785 0.97474176]
 [0.95107872 0.99467579 1.02569211 ... 0.97676987 0.98586826 0.93060477]
 ...
 [0.98064287 0.99388538 1.06366924 ... 0.97526658 0.99327433 1.05771949]
 [1.036685   1.02279861 1.04090835 ... 1.06941151 1.06405894 1.0223279 ]
 [0.96915416 1.05322853 1.00081698 ... 0.98720836 1.04768802 1.00223256]]",2
45,"[[1.02365218 1.03439355 1.04957061 ... 0.97615686 1.01234601 1.10715321]
 [1.0174785  0.94921262 0.97364103 ... 0.92003654 1.01923635 1.01769448]
 [1.01925703 1.06610501 0.95973224 ... 0.99113116 0.99417739 0.96269293]
 ...
 [1.05244341 1.02939528 0.9480281  ... 1.05633665 1.02232102 0.97317686]
 [1.01747427 1.09596205 0.92446766 ... 1.06056456 1.00912978 0.875591  ]
 [1.02029018 0.99810797 1.00242412 ... 0.99803485 1.02674291 1.08996086]]",3
46,"[[0.96955971 1.04499095 1.01961456 ... 0.94406504 1.07223581 0.9336854 ]
 [0.94579069 1.02059001 0.99231369 ... 0.96764577 1.07156875 1.05040463]
 [1.04214697 1.02849375 1.02190736 ... 1.00356963 1.02946161 1.10640616]
 ...
 [0.98199075 1.0240698  1.01035817 ... 1.02747181 1.00544641 1.03390355]
 [0.93707064 0.98973733 1.02470359 ... 0.95401823 1.008511   1.08418051]
 [0.94891368 0.99614923 1.00962457 ... 1.02285192 0.99331536 0.98774688]]",0
47,"[[0.9643526  1.05369899 1.00836449 ... 1.04205252 0.97035967 1.00593302]
 [1.04917397 1.03380991 0.95337887 ... 1.05163317 0.92440512 1.03632051]
 [1.05849352 0.97252672 1.01105137 ... 1.0738253  1.09318878 1.06840276]
 ...
 [1.00821941 1.03362755 1.04241474 ... 0.99273851 0.99607752 0.98884795]
 [0.99253245 0.95243821 1.04378178 ... 1.03534669 0.98637555 0.99025923]
 [1.02211583 0.97698647 1.0674852  ... 1.04218852 1.00688984 0.99179186]]",1
48,"[[1.03181467 1.04197117 1.04301857 ... 1.04062785 0.97914781 1.06946846]
 [1.00689073 0.95818513 0.97520297 ... 0.97742138 1.03492039 0.96859848]
 [0.98820536 1.00663237 0.98645195 ... 0.980935   1.02495661 1.01294741]
 ...
 [1.02668444 1.00539075 1.04505266 ... 0.99679792 0.95495978 1.00429376]
 [0.99247853 0.99343322 1.00687511 ... 1.04412837 0.98748682 1.01309654]
 [0.95916826 1.04632777 1.04447884 ... 1.03071664 1.03304511 0.93128367]]",4
49,"[[1.06129774 1.01616981 0.93059232 ... 0.96290241 0.96811364 0.95803244]
 [1.00122765 0.96971618 1.05029422 ... 0.98555952 1.00900383 1.00716398]
 [0.98303745 1.02631679 1.02542715 ... 0.99925894 0.9616029  1.02362285]
 ...
 [1.01888844 1.04858729 1.00803812 ... 1.0389976  1.06004108 0.97480677]
 [0.93113917 1.0466953  1.00526247 ... 0.97701661 0.99801125 0.99678217]
 [0.94760002 1.07314459 0.96046617 ... 0.97381058 1.00329098 1.02783799]]",5
50,"[[1.0293159  0.96228128 1.01975351 ... 1.00632196 1.01691355 1.04745399]
 [0.98828696 0.96075128 0.98620667 ... 1.00742143 1.02846794 0.98749199]
 [0.9158811  0.94573839 1.01840201 ... 1.01003632 0.96479123 0.93961448]
 ...
 [0.96151843 1.09826894 0.98563131 ... 0.8941758  0.98697096 1.04462692]
 [1.00024172 1.00720953 0.94577694 ... 1.00778727 1.03488165 1.00156308]
 [0.98272269 1.04198892 1.03760193 ... 1.04216466 0.98611203 1.00856724]]",5
51,"[[0.97406402 0.95907409 0.97720984 ... 1.07631758 1.05915433 1.06369577]
 [1.00804284 1.00873465 0.98353951 ... 0.98830754 0.9874053  1.00952487]
 [0.95531192 1.02484145 0.98872703 ... 0.9674042  0.98857573 1.01975516]
 ...
 [1.03088758 1.05681786 0.95232749 ... 1.03986484 0.99202411 1.02715821]
 [0.95570882 0.99363571 0.96197693 ... 0.92262752 1.00492711 0.97325943]
 [1.01433344 1.05536966 1.03356842 ... 1.07132379 1.00471988 1.02164592]]",4
52,"[[0.96117409 0.99822225 0.9945497  ... 1.00342923 0.99279881 1.01772963]
 [1.05198611 1.0106839  0.98639984 ... 1.02897269 0.97670725 0.91627842]
 [0.95323337 1.00977249 0.99987345 ... 1.04962563 0.99788308 1.04231197]
 ...
 [0.96622626 0.99451494 1.03696621 ... 0.91880145 1.00793016 1.00205201]
 [1.08380286 1.01056976 0.94528649 ... 1.01065482 1.00508482 0.98114759]
 [1.02295216 1.02767776 0.91979991 ... 1.0238038  1.02428334 1.0473115 ]]",3
